"Incident, Date","Total, Number, of, Dead, and, Missing","Number, of, Survivors","Number, of, Females","Number, of, Males","Number, of, Children","Region, of, Origin","Cause, of, Death","Migration, route","Location, of, death",Coordinates
2014-01-06,1,,,1,,"Central, America","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-110.366453, 31.650259"
2014-01-12,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.73756, 31.59713"
2014-01-14,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.01125, 31.94026"
2014-01-16,1,,,1,,"Central, America",Violence,"US-Mexico, border, crossing","near, Douglas,, Arizona,, USA","-109.315632, 31.506777"
2014-01-16,1,2,,1,,"Northern, Africa","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water",,"Border, between, Russia, and, Estonia","28, 59.1551"
2014-01-17,1,,,,,"Latin, America, /, Caribbean, (P)",Violence,"US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.18402, 32.45435"
2014-01-19,12,,9,,3,Unknown,Drowning,"Eastern, Mediterranean","Waters, near, Greece, while, being, towed, back, to, Turkey","27, 37.2832"
2014-01-22,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.182833, 32.478317"
2014-01-24,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.01101, 31.81154"
2014-01-24,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.174583, 32.174017"
2014-01-25,1,,,1,,"Central, America","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.02935, 32.40291"
2014-01-28,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.919, 32.159"
2014-01-29,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.654933, 32.481483"
2014-01-29,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.654933, 32.481683"
2014-01-30,1,2,,1,1,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","English, Channel, to, the, UK","France, -, Calais","2, 50.9355"
2014-01-30,1,,,1,1,Caribbean,Drowning,,"Off, the, coast, of, Fort, Lauderdale,, Florida","-80, 26.116"
2014-02-02,5,500,,5,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare",,"Hat, Yai, hospital,, 182, Ratthakan,, Hat, Yai,, Hat, Yai, District,, Songkhla, 90110","100.4674982, 7.0167471"
2014-02-06,15,0,,1,,Unknown,Violence,"Western, Mediterranean","Ceuta, waters","-5, 35.8793"
2014-02-11,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.854867, 31.8054"
2014-02-16,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.385833, 31.992833"
2014-02-16,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.20211, 32.17305"
2014-02-17,2,121,,2,,"Eastern, Africa","Mixed, or, unknown","Central, Mediterranean","Italy, waters","16, 34.5645"
2014-02-17,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.1726, 32.00768"
2014-02-18,1,2,,1,,"Central, America",Violence,"US-Mexico, border, crossing","California-Mexico, border, near, San, Diego,, California,, USA","-117, 32.5543"
2014-02-20,8,0,,,,Caribbean,Drowning,,"Dominican, Republic","-68, 18.4505"
2014-02-20,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.96383, 31.82214"
2014-02-21,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.58407, 32.08795"
2014-02-25,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.44956, 32.0885"
2014-02-26,1,0,,1,,"Southern, Asia",Violence,,India,"89, 25.1841"
2014-02-26,17,0,,,,"Eastern, Africa",Drowning,"Horn, of, Africa, to, Yemen, crossing","Gulf, of, Aden, (left, from, Djibouti)","39, 20.2802"
2014-02-27,7,,,,,"Eastern, Africa",Violence,"Central, Mediterranean","Libyan, Coast","15, 33.1597"
2014-03-04,1,,1,,,"Central, America","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-110.51916, 31.759"
2014-03-09,1,0,,1,,Europe,Violence,"English, Channel, to, the, UK","France, -, Calais, (Killed, on, motorway)","2, 50.9365"
2014-03-09,5,4,2,3,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Bypass, Road,, Moo, 7,, Bang, Phra, subdistrict,, Sri, Racha, district,, Chonburi, province,, Thailand","101, 13.2353642"
2014-03-09,2,10,,2,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Moo, 13,, 38th, km, of, the, 4006, Langsuan-Pato, Road,, Pato, district,, Chumphon, province,, Thailand","99, 9.96833"
2014-03-11,1,,1,,1,"South, America",Violence,"US-Mexico, border, crossing","Río, Bravo,, Ciudad, Juarez,, Chihuahua,, Mexico","-106.425, 31.6904"
2014-03-11,44,33,,,3,"Eastern, Africa",Drowning,"Horn, of, Africa, to, Yemen, crossing","Gulf, of, Aden","48, 12.5331"
2014-03-12,1,0,,1,,"Eastern, Africa","Vehicle, accident, /, death, linked, to, hazardous, transport","English, Channel, to, the, UK","France, -, Calais, (Hit, by, lorry, in, port)","2, 50.9686"
2014-03-13,1,,,,,"Central, America","Mixed, or, unknown","US-Mexico, border, crossing","King, Ranch,, Brooks, County,, Texas,, USA","-97.74819915, 26.81120278"
2014-03-14,1,0,,1,,"Eastern, Africa","Mixed, or, unknown","English, Channel, to, the, UK","France, -, Calais, (Body, found, on, dock)","2, 50.950273"
2014-03-15,1,2,,1,,"Eastern, Africa","Vehicle, accident, /, death, linked, to, hazardous, transport","English, Channel, to, the, UK","France, -, Calais, (Body, found, crushed, in, transporter)","2, 50.9688"
2014-03-15,1,,,,,"Latin, America, /, Caribbean, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.114583, 31.789033"
2014-03-15,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.326, 32.1386"
2014-03-17,1,,,,,Unknown,"Vehicle, accident, /, death, linked, to, hazardous, transport","Central, Mediterranean",Mediterranean,"13, 34.9797"
2014-03-18,9,8,1,1,1,"Western, Asia",Drowning,"Eastern, Mediterranean","Waters, near, Lesvos,, Greece","26, 39.398814"
2014-03-22,251,50,,,,"Middle, Africa",Drowning,,"Lake, Albert,, Uganda/DRC","31, 1.63236"
2014-03-23,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.183, 31.558"
2014-03-26,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.06415, 31.94755"
2014-03-26,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.62433, 31.85666"
2014-03-26,1,,1,,,"Central, America","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Comitan,, Chiapas,, Mexico","-92, 16.2299602"
2014-03-30,1,,1,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.862733, 31.688867"
2014-03-30,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.7528, 32.3085"
2014-03-30,1,,,1,,"Central, America","Accidental, death","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-110.93813, 31.33271"
2014-04-02,1,,,1,,"Central, America","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-110.989383, 31.354017"
2014-04-09,17,0,,,,"Eastern, Africa",Drowning,,"Limpopo, River,, Zimbabwe","32, -23.8148"
2014-04-09,1,661,,,,Unknown,"Mixed, or, unknown","Central, Mediterranean","Italy, waters","14, 35.1092"
2014-04-10,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.42503, 32.03171"
2014-04-10,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.9419, 31.836217"
2014-04-14,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.330983, 32.12865"
2014-04-14,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.5039, 32.178733"
2014-04-14,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.246033, 32.09045"
2014-04-14,10,309,,,,"Eastern, Africa","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Sahara, Desert, crossing","Sudanese-Libyan, desert","22, 23.3112"
2014-04-16,9,5,2,,1,"Western, Asia",Drowning,"Eastern, Mediterranean","Turkey, waters, -, en, route, to, Greece","27, 38.669208"
2014-04-17,4,3,,,,"Central, America",Violence,,"On, la, Bestia,, near, Arriaga,, Chiapas,, Mexico","-94, 16.242196"
2014-04-18,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.0037, 32.1886"
2014-04-21,5,,,,,"Eastern, Asia",Violence,,"Border, China/Vietnam","107, 21.5928"
2014-04-23,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.9961, 32.1833"
2014-04-25,7,7,2,5,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport",,"344, Road,, 39-40th, km,, Nong, Sue, Chang, subdistrict,, Nong, Yai, district,, Chonburi, province,, Thailand","101, 13.3493133"
2014-04-27,1,,,1,,"Central, America",Violence,"US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-110.862595, 31.99887"
2014-04-27,1,,,1,,"Central, America","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-110.793333, 31.467633"
2014-04-30,40,1,,,,"Eastern, Africa",Drowning,"Central, Mediterranean","Coast, of, Libya","14, 34.3706"
2014-04-30,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.43782, 31.59867"
2014-05-01,9,16,,,,Caribbean,Drowning,,"Dominican, Republic,, near, Boca, Chica, and, Juan, Dolio","-70, 18.3079"
2014-05-01,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.79283, 31.58023"
2014-05-02,4,80,,,,"Eastern, Africa",Drowning,"Central, Mediterranean","Coast, of, Libya","14, 33.1045"
2014-05-07,1,,,1,1,"Eastern, Africa","Vehicle, accident, /, death, linked, to, hazardous, transport","English, Channel, to, the, UK","A16, motorway,, near, Condette,, France","1.85869, 50.9513"
2014-05-05,29,36,,,,Unknown,Drowning,"Eastern, Mediterranean","Waters, near, Greece","27, 37.848433"
2014-05-06,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.868, 32.12555"
2014-05-06,77,53,,,,"Sub-Saharan, Africa, (P)",Drowning,"Central, Mediterranean","Coast, of, Libya","16, 32.6801"
2014-05-07,1,,,1,,"Eastern, Africa","Mixed, or, unknown","Central, Mediterranean","Mediterranean, waters","12, 35.8196"
2014-05-08,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.97016, 31.75233"
2014-05-08,1,17,,,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Petchkasem, road,, Tamtua, subdistrict,, Takua, Pa, district,, Phang, Nga, province,, Thailand","98, 8.855529"
2014-05-09,46,,,,,"Western, Africa","Mixed, or, unknown","Sahara, Desert, crossing","Desert, in, southern, Algeria","2, 23.5301672"
2014-05-10,1,,,1,,"Latin, America, /, Caribbean, (P)",Violence,"US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-110.360473, 31.692369"
2014-05-12,217,226,12,2,3,"Sub-Saharan, Africa, (P)",Drowning,"Central, Mediterranean","International, waters, between, Libya, and, Italy","16, 34.7086"
2014-05-13,1,,,1,,"Central, America","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.34965, 31.95283"
2014-05-21,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.68357, 31.61445"
2014-05-22,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.6213, 32.46313"
2014-05-23,1,,,1,1,"Southern, Asia","Accidental, death","Eastern, Mediterranean",Greece,"20, 39.5061"
2014-05-23,1,,,1,1,"Northern, Africa","Vehicle, accident, /, death, linked, to, hazardous, transport","English, Channel, to, the, UK","Calais,, France","1.85869, 50.9513"
